Date,Open,High,Low,Close,Adj Close,Volume,D/E,Profit Margin,EPS(diluted),P/B ratio
2020/1/2,5.130000114,5.190000057,5.110000134,5.170000076,3.803095102,125043592,1.001438012,2.43,0.48,0.85
2020/1/3,5.190000057,5.289999962,5.179999828,5.269999981,3.876655102,164887316,1.001438012,2.43,0.48,0.85
2020/1/6,5.309999943,5.409999847,5.289999962,5.360000134,3.942859411,211251253,1.001438012,2.43,0.48,0.85
2020/1/7,5.300000191,5.300000191,5.199999809,5.25,3.86194253,126348161,1.001438012,2.43,0.48,0.85
2020/1/8,5.28000021,5.28000021,5.28000021,5.28000021,3.884011984,127040971,1.001438012,2.43,0.48,0.85
2020/1/9,5.190000057,5.21999979,5.170000076,5.190000057,3.817806482,103355538,1.001438012,2.43,0.48,0.85
2020/1/10,5.179999828,5.190000057,5.139999866,5.159999847,3.795737982,46913955,1.001438012,2.43,0.48,0.85
2020/1/13,5.139999866,5.139999866,5.139999866,5.139999866,3.781025887,83754435,1.001438012,2.43,0.48,0.85
2020/1/14,5.139999866,5.139999866,5.139999866,5.139999866,3.781025887,84445453,1.001438012,2.43,0.48,0.85
2020/1/15,5.139999866,5.139999866,5.090000153,5.090000153,3.744245768,50513896,1.001438012,2.43,0.48,0.85
2020/1/16,5.099999905,5.110000134,5.059999943,5.070000172,3.729533434,52747510,1.001438012,2.43,0.48,0.85
2020/1/17,5.079999924,5.099999905,5.050000191,5.070000172,3.729533434,60190660,1.001438012,2.43,0.48,0.85
2020/1/20,5.070000172,5.079999924,5.039999962,5.050000191,3.714821577,61508558,1.001438012,2.43,0.48,0.85
2020/1/21,5.039999962,5.050000191,5,5.010000229,3.685397148,74500553,1.001438012,2.43,0.48,0.85
2020/1/22,5,5.010000229,4.949999809,4.980000019,3.663329124,81200220,1.001438012,2.43,0.48,0.85
2020/1/23,4.960000038,4.96999979,4.900000095,4.940000057,3.633904696,110492183,1.001438012,2.43,0.48,0.85
2020/2/3,4.5,4.739999771,4.489999771,4.619999886,3.398509502,216185335,1.001438012,2.43,0.48,0.85
2020/2/4,4.579999924,4.650000095,4.539999962,4.639999866,3.413222313,120059382,1.001438012,2.43,0.48,0.85
2020/2/5,4.630000114,4.699999809,4.590000153,4.639999866,3.413222313,120889413,1.001438012,2.43,0.48,0.85
2020/2/6,4.690000057,4.730000019,4.630000114,4.699999809,3.457358837,102451696,1.001438012,2.43,0.48,0.85
2020/2/7,4.699999809,4.739999771,4.659999847,4.730000019,3.479426622,95184826,1.001438012,2.43,0.48,0.85
2020/2/10,4.739999771,4.739999771,4.679999828,4.710000038,3.464714527,114663643,1.001438012,2.43,0.48,0.85
2020/2/11,4.710000038,4.75,4.690000057,4.71999979,3.472070456,116920868,1.001438012,2.43,0.48,0.85
2020/2/12,4.71999979,4.730000019,4.679999828,4.730000019,3.479426622,84461678,1.001438012,2.43,0.48,0.85
2020/2/13,4.730000019,4.739999771,4.699999809,4.699999809,3.457358837,91856677,1.001438012,2.43,0.48,0.85
2020/2/14,4.690000057,4.71999979,4.679999828,4.710000038,3.464714527,66680105,1.001438012,2.43,0.48,0.85
2020/2/17,4.710000038,4.789999962,4.699999809,4.78000021,3.516207457,105985899,1.001438012,2.43,0.48,0.85
2020/2/18,4.78000021,4.789999962,4.739999771,4.75,3.494139194,118694864,1.001438012,2.43,0.48,0.85
2020/2/19,4.760000229,4.769999981,4.730000019,4.739999771,3.486782789,93438092,1.001438012,2.43,0.48,0.85
2020/2/20,4.760000229,4.789999962,4.75,4.789999962,3.523563385,120382688,1.001438012,2.43,0.48,0.85
2020/2/21,4.769999981,4.789999962,4.769999981,4.789999962,3.523563385,98260316,1.001438012,2.43,0.48,0.85
2020/2/24,4.760000229,4.769999981,4.710000038,4.71999979,3.472070456,129218143,1.001438012,2.43,0.48,0.85
2020/2/25,4.670000076,4.690000057,4.639999866,4.659999847,3.42793417,145495444,1.001438012,2.43,0.48,0.85
2020/2/26,4.630000114,4.699999809,4.610000134,4.679999828,3.442645788,143614067,1.001438012,2.43,0.48,0.85
2020/2/27,4.679999828,4.690000057,4.650000095,4.659999847,3.42793417,103337553,1.001438012,2.43,0.48,0.85
2020/2/28,4.610000134,4.650000095,4.559999943,4.599999905,3.383797646,166939152,1.001438012,2.43,0.48,0.85
2020/3/2,4.619999886,4.730000019,4.619999886,4.699999809,3.457358837,155087910,1.001438012,2.43,0.48,0.85
2020/3/3,4.739999771,4.760000229,4.679999828,4.710000038,3.464714527,132749282,1.001438012,2.43,0.48,0.85
2020/3/4,4.710000038,4.730000019,4.690000057,4.710000038,3.464714527,79927735,1.001438012,2.43,0.48,0.85
2020/3/5,4.739999771,4.800000191,4.71999979,4.789999962,3.523563385,160771353,1.001438012,2.43,0.48,0.85
